20
ID NAME TEAM SCORE COMPETITIONS COST POTATOE
1 FRGJfSPI Alpha 4.7 81 9550 false
2 TAoRq Tau 0.8 209 9151 false
3 ErFRKRNZVU Delta 3.9 0 5832 false
4 hSRxxR Beta 4.8 114 1229 true
5 gZEoLkOKS Gamma 0.4 6 8095 true
6 YGIrqs Tau 3.7 185 7007 true
7 zLZMX Lambda 0.1 29 7127 true
8 OUoz Theta 3.5 72 6526 true
9 kKBDqlW Lambda 0.7 129 5807 true
10 QBlg Delta 8.8 9 3007 false
11 GPB Pi 8.9 87 8520 true
12 wSJl Lambda 6.7 218 5016 false
13 ggeHyCyv Pi 8.2 4 9453 true
14 cPkRHJ Epsilon 7.1 225 7821 true
15 jpgGgYFx Lambda 9.0 246 1591 false
16 zeyPJbJLMT Theta 7.5 86 409 false
17 KDuRVjcpv Pi 2.3 126 6242 true
18 NMCfovpld Gamma 0.3 60 9716 false
19 QuX Theta 5.7 65 7787 true
20 soj Delta 1.1 210 1824 false
