50000
ID NAME TEAM SCORE COMPETITIONS COST POTATOE
50000 Pmt Pi 9.9 162 6528 false
49999 AWWJbUc Epsilon 4.7 92 7168 true
49998 QQWth Pi 6.0 162 3249 false
49997 vStjHl Theta 7.4 136 4226 false
49996 MyFIcHz Gamma 8.8 202 5756 false
49995 IAllmLpUC Lambda 0.7 219 8621 false
49994 ioH Alpha 9.6 75 2398 true
49993 jcxunjmlCW Delta 5.0 90 1933 true
49992 ZWMIkeuMs Gamma 6.7 239 4017 false
49991 CFKrC Theta 4.9 213 7766 false
49990 ZXosOgxKXs Tau 3.8 150 2838 false
49989 MRaK Alpha 4.9 114 5535 true
49988 sUkfn Epsilon 3.7 88 4822 true
49987 SFYYeAOFR Delta 2.2 248 8574 false
49986 qbPqWums Epsilon 7.5 68 5954 false
49985 fqWmsxeq Alpha 8.0 4 2396 true
49984 NkAUqCRDtl Tau 9.1 192 1954 true
49983 BUfZXh Gamma 5.9 152 7727 true
49982 CBFQqkZd Epsilon 0.6 160 5091 true
49981 REsThVyjY Lambda 2.0 86 3742 false
49980 quoulXv Epsilon 7.5 187 2210 true
49979 iASsHHTxV Theta 6.3 15 9670 true
49978 VQNWmvoKEc Alpha 8.3 195 1228 false
49977 vWhOx Beta 4.7 15 7562 false
49976 TUAlxTdKhY Pi 0.4 39 2379 true
49975 GfqAgjV Theta 1.0 142 8352 false
49974 DDJ Epsilon 8.3 18 7262 false
49973 XrOIYxmhR Pi 5.0 193 2000 true
49972 BhM Epsilon 4.5 168 3248 false
49971 XjcZhX Gamma 2.2 244 6331 true
49970 Oyq Epsilon 4.7 144 2531 false
49969 bhO Delta 2.1 132 3158 true
49968 zyCkMpb Theta 6.5 133 7316 true
49967 MPpnR Delta 7.8 224 8113 false
49966 SCfoUnVZ Tau 9.0 219 9686 true
49965 LIKUJrmI Tau 3.9 135 8853 true
49964 ipzyaDayUA Theta 0.9 91 8807 false
49963 VTi Lambda 7.3 59 861 false
49962 JmQZSEbrxo Pi 4.4 228 9728 false
49961 tdPZ Theta 8.8 225 2111 false
49960 maNSXrXTk Pi 2.8 90 8902 true
49959 CLbEJXDnJ Beta 2.2 50 4351 false
49958 MmpmGKX Tau 5.6 107 9535 true
49957 lbrOOjAMx Theta 5.5 21 4011 true
49956 FHK Delta 7.1 215 543 true
49955 NYVsWUgciQ Delta 3.9 170 9410 false
49954 Kxmqqi Delta 4.9 243 7237 false
49953 jDpD Epsilon 1.4 145 9302 false
49952 URiOmmp Beta 5.8 150 3065 true
49951 diYRwUpnRV Alpha 6.3 97 4236 false
49950 OTkOYsya Beta 4.3 24 6369 true
49949 uzUvH Delta 3.7 44 7883 false
49948 UDkTQTDb Theta 1.2 240 5351 false
49947 YkvcGQS Gamma 6.6 177 3 false
49946 jlfKNnXRX Beta 4.6 61 418 false
49945 MotkamAQz Beta 2.7 93 8555 false
49944 mxeEsG Tau 6.4 3 1795 true
49943 Ysii Beta 5.8 178 8780 false
49942 WOtjZ Pi 8.7 208 9840 true
49941 OOG Epsilon 5.7 243 9334 true
49940 OhyIBQFiO Alpha 5.2 189 4956 false
49939 nkFZhULE Theta 2.4 13 1391 true
49938 KlFSEcpeWH Pi 9.8 103 3988 true
49937 XLxoiXgls Tau 6.2 240 6651 true
49936 xbbM Pi 1.1 53 8480 false
49935 ILzXaS Gamma 2.3 103 1558 true
49934 pYVFDWYXZ Beta 6.7 22 5514 false
49933 cQOjHqPfr Pi 4.4 112 4372 true
49932 oIRZpnuiW Theta 2.1 248 9511 false
49931 ZpIuS Delta 9.9 100 8464 true
49930 PQOpvVLm Delta 3.5 72 4000 true
49929 uTNG Gamma 3.1 52 6366 false
49928 jxGvJMShmf Tau 3.9 134 583 true
49927 efl Beta 8.2 215 7042 true
49926 DrkLtyA Theta 0.1 228 4026 true
49925 UViBR Epsilon 6.8 150 2381 true
49924 qBkisZNO Alpha 4.2 69 246 true
49923 kGAKntU Pi 1.9 99 3998 true
49922 gNUlzbt Theta 8.8 185 7998 false
49921 OvPfcswWx Theta 6.0 173 8508 true
49920 RpCil Delta 5.6 165 9095 false
49919 xiqkiLLAoF Pi 8.4 242 7065 false
49918 gAIBCmBoc Pi 2.5 222 4735 false
49917 XmeTCgtg Beta 5.4 55 5717 false
49916 meYiCSrnoS Beta 2.9 221 6012 false
49915 pqZZVGe Theta 5.2 103 6183 true
49914 HQRq Alpha 6.6 186 7299 true
49913 DLyS Theta 0.8 219 9062 true
49912 WtGuNMN Epsilon 5.5 40 6519 false
49911 AoC Theta 9.2 13 9188 true
49910 cCULvvT Delta 0.7 98 1103 false
49909 NcMyTdn Alpha 6.5 30 8067 true
49908 kBbCXDH Beta 0.5 126 8676 true
49907 nuQrdkoF Epsilon 0.3 190 2822 false
49906 XLaqwU Tau 4.7 0 4195 false
49905 JqOkoKuAdP Alpha 4.1 125 8908 true
49904 YYF Pi 10.0 122 2562 false
49903 ZRlPlUfb Alpha 4.5 57 2001 false
49902 VXeWHrNq Beta 8.5 77 5143 false
49901 smn Beta 5.9 125 3312 false
49900 SlXQQas Alpha 4.9 211 247 true
49899 KuBgkM Theta 10.0 222 8868 false
49898 RPkw Gamma 5.6 109 6755 false
49897 JbKVYRsxVe Tau 7.3 13 934 false
49896 LIqVqGsPoh Pi 6.0 22 5275 false
49895 opU Theta 2.0 88 2136 true
49894 AXopJw Epsilon 8.5 105 1248 true
49893 mVuT Lambda 5.9 246 663 true
49892 mEk Tau 8.6 73 1900 false
49891 jBDI Gamma 3.3 47 812 true
49890 wHI Beta 4.3 203 8941 true
49889 TDdaRCOc Pi 1.7 66 4539 false
49888 VwbKsbDS Theta 3.5 5 6351 true
49887 GwKIKCfV Lambda 6.7 128 1290 true
49886 VkYm Tau 5.0 190 7762 false
49885 VeDhP Gamma 2.1 45 264 false
49884 TRoq Gamma 2.1 123 2293 true
49883 PDZ Delta 9.8 245 2453 true
49882 GDKU Theta 6.5 63 5650 true
49881 BelXc Theta 3.3 219 3468 true
49880 YkdQXd Tau 9.8 151 7091 false
49879 PgOIHvjdN Tau 2.1 25 9361 false
49878 ksnG Epsilon 7.2 205 4474 false
49877 tSDGKjQaxJ Delta 7.7 146 7045 false
49876 djYkFo Delta 7.2 13 8103 false
49875 vcrICQdIIB Beta 8.2 52 9518 true
49874 aZuQJrVmi Pi 0.4 68 2998 false
49873 MIM Pi 0.1 226 6776 false
49872 LFvrOjC Alpha 9.7 71 2291 true
49871 kWJJhR Delta 7.9 170 1864 false
