10000
ID NAME TEAM SCORE COMPETITIONS COST POTATOE
5431 AGSquL Pi 3.0 31 4108 false
1310 MVrbh Delta 2.3 109 3589 false
4256 PLZ Alpha 8.2 177 8793 false
5882 blyLEuVJDi Beta 9.7 245 6502 false
2557 QFYVIsC Theta 7.7 38 15 false
6900 xHGHp Alpha 0.5 200 6667 true
5704 NOHpkB Alpha 1.9 21 8982 false
9291 HjIyVMY Gamma 2.4 72 8727 false
4239 pQCo Delta 4.5 106 502 false
6462 mVO Theta 3.8 74 7746 true
3841 VsB Theta 9.7 82 1962 false
4864 cpym Theta 8.5 116 5972 true
9050 YEuEkPGnE Delta 1.1 211 1571 false
1559 jeDjwCJY Theta 2.4 89 2628 false
5904 SwnqjKqM Gamma 7.9 105 5125 true
8962 YuiFHQ Theta 2.7 149 494 true
5724 VAnDhZv Lambda 1.0 86 6798 true
2166 PCBKNRdIk Tau 1.0 3 5839 true
5859 wLcjHBtpiG Alpha 0.4 203 730 false
7903 ipLPkSc Delta 0.7 58 2286 true
1781 QPJPCPkXhM Alpha 8.3 142 1906 true
6447 MfMyNGm Gamma 9.7 210 9625 true
4344 SJHYZOw Delta 5.3 193 4425 false
7655 IzfvvV Theta 9.1 147 3594 false
7191 dnN Beta 4.1 66 8726 false
3911 ShmFlG Epsilon 1.7 205 6535 true
2772 rfhJVZKZ Alpha 5.7 112 2240 true
9111 SAwEZNd Theta 8.0 205 3945 true
2070 OTXhwMm Theta 3.3 184 3493 false
5414 Kpg Lambda 0.9 76 6252 true
6998 XRHDLqtUE Delta 4.1 221 3583 false
7441 HxOJKNmYp Alpha 8.3 70 793 false
602 NuS Beta 2.6 109 7022 true
3159 TolR Tau 4.6 225 616 false
365 zmfexVXu Pi 4.0 115 1939 false
3190 vEHwHbYRN Gamma 9.2 49 8640 true
5290 bqodPgq Epsilon 9.9 160 8515 false
6839 goNGxBjMU Lambda 5.8 141 1794 true
7522 Scdg Pi 7.2 17 9739 false
4160 ONyDyRHOX Beta 2.0 11 7831 false
998 PAqoxc Tau 2.0 250 3673 false
6933 XLUj Pi 4.4 74 7082 true
3167 zpVI Alpha 5.2 109 470 true
3998 ntXOBE Beta 6.8 31 3024 true
218 umBk Beta 7.0 43 7655 false
7101 wgHSwvzgH Tau 0.2 82 1985 true
2368 jMLCmNWrJ Pi 5.1 4 9431 false
8076 ztI Alpha 5.3 174 9126 false
4511 RYI Alpha 1.4 7 4324 true
7315 XWqD Tau 2.0 158 1875 false
3583 RtdcMFKTmL Pi 9.3 24 3492 false
2847 ezfN Pi 6.6 91 116 true
122 dCP Lambda 4.2 50 245 false
6443 UttRwHwfin Beta 7.8 85 6969 false
1444 BxQwh Gamma 7.6 104 1946 false
7202 JlyQ Pi 3.8 136 2651 true
3254 UenGbWfRj Epsilon 3.4 195 1265 true
391 WtocjxZFa Lambda 9.5 74 3229 false
2449 jcSIVEBld Lambda 5.5 71 7628 false
7639 lub Tau 3.8 98 9440 false
2153 PygBJ Delta 0.1 27 3087 true
4940 NlM Tau 0.2 23 773 false
4419 GihS Alpha 6.6 154 5748 true
3339 XfBUPwFl Delta 6.5 133 4931 true
9004 WaeqSzFvRl Delta 6.8 89 6592 true
6711 cGOxn Lambda 9.2 75 6933 true
2645 LJBg Epsilon 2.3 126 9839 true
9065 lCvhkqTyED Beta 7.3 111 3653 false
5350 apLkaC Pi 4.0 157 6740 true
8645 uUT Delta 0.4 138 976 false
9891 PdPDor Gamma 0.1 242 1849 true
4102 qCNTZyKVrR Theta 5.1 157 5776 true
1359 KLNlE Tau 5.6 158 6809 true
3352 LoTqYs Alpha 4.4 86 1417 true
335 kiUBCWwb Theta 1.4 193 846 true
1229 FIQtsEBYIm Lambda 1.2 141 4209 true
7973 RJPxUINl Pi 4.2 103 5523 false
3813 TlCaCuLx Alpha 2.5 22 5181 true
1929 bllRJWEWy Gamma 5.2 217 1725 false
520 tzIUlxaQ Tau 5.4 128 389 false
1506 xqjZ Gamma 2.9 121 9132 false
5463 SBuNivx Alpha 0.3 142 4461 false
2125 KUPQmAg Epsilon 6.7 3 358 true
4677 fnu Epsilon 4.9 95 9568 false
1527 qJHMTPOHRD Epsilon 3.5 55 1148 true
8032 Drz Alpha 7.9 101 3541 true
999 aRffGIWai Gamma 7.7 216 2490 false
6671 LPYD Theta 1.6 152 2480 true
7598 Aalv Beta 3.1 117 2877 false
6893 mEQDE Alpha 3.0 165 8960 true
568 sKNaKxunb Tau 1.7 0 7383 false
527 TFyr Tau 6.8 173 8134 true
6320 Gjra Gamma 8.6 5 710 false
6665 gXLrVUu Beta 9.0 115 9560 false
8453 QnnISR Epsilon 3.3 80 1557 true
1571 XVXsTEgCW Alpha 8.4 75 6259 false
3856 xECm Tau 10.0 25 9376 false
544 Lbj Alpha 6.2 159 7131 false
2945 CAqEPusC Delta 7.0 53 9022 true
2582 WJM Alpha 4.5 73 9292 true
5772 MCfxFI Beta 4.2 209 1012 false
3329 MbyNQMX Pi 9.6 192 6099 false
