50000
ID NAME TEAM SCORE COMPETITIONS COST POTATOE
1 nTW Pi 9.6 73 3613 true
2 aTt Gamma 8.3 49 6522 false
3 lisi Tau 9.8 94 6999 false
4 sVZoLUPRM Gamma 0.2 96 9552 true
5 aSwnzggU Epsilon 3.9 228 7801 true
6 Qns Pi 0.7 179 9038 false
7 fzzEybbkBe Theta 0.6 205 5801 true
8 byP Lambda 6.1 129 9929 true
9 GOKqLQ Theta 4.8 179 3095 false
10 jJkmRmpX Tau 4.6 83 172 false
11 lXdQx Theta 3.2 121 753 true
12 ongsh Tau 4.7 188 5489 false
13 RbNSV Epsilon 7.4 188 2473 true
14 abFm Lambda 8.7 67 8442 true
15 MKJ Epsilon 0.2 206 9450 true
16 pezbo Theta 2.8 23 5619 true
17 ynTCXIPMth Beta 0.7 183 2178 false
18 PdW Gamma 10.0 116 9312 true
19 xft Tau 1.0 102 3597 true
20 RrqC Alpha 3.0 32 779 true
21 EXXz Pi 6.4 214 5718 false
22 hLdNOBY Gamma 1.6 216 5819 false
23 AgTx Beta 5.8 216 3521 true
24 KNaQPicFCk Epsilon 3.5 104 4832 false
25 gHd Epsilon 6.9 173 3807 false
26 sBG Gamma 1.0 91 9979 false
27 krOmLgnI Delta 3.4 151 5098 true
28 LzmiloE Lambda 2.1 45 5458 true
29 YeIP Epsilon 6.3 88 682 true
30 XUC Alpha 0.1 52 3499 true
31 VqajZaS Lambda 3.6 112 5026 false
32 asMUwGlZNu Alpha 7.5 50 2655 true
33 Mkcb Epsilon 5.4 202 3732 false
34 aCtz Gamma 7.8 29 2539 true
35 qGc Epsilon 5.9 103 8764 true
36 reA Gamma 3.9 249 2297 false
37 DOTGsogaSe Pi 5.9 73 6388 true
38 yODkXXP Beta 7.2 240 8233 true
39 lRYdFifrS Delta 2.8 52 2178 false
40 RZQVjWAXU Gamma 2.6 50 4202 false
41 iPK Alpha 8.3 85 452 true
42 hzSzwCC Alpha 3.1 140 8806 false
43 NVgdugSWc Tau 0.3 39 915 true
44 bGmFhBkzT Theta 5.4 84 3433 false
45 fTtyy Pi 6.8 184 8714 false
46 AoW Beta 0.4 228 6871 false
47 IINpRdtd Epsilon 1.6 148 8799 true
48 IUWaJD Tau 7.5 180 4661 true
49 edyOCT Theta 2.2 176 8407 false
