N,Budget,K,DP_TopDown_s,DP_BottomUp_s,Greedy_Score_s,Greedy_ScoreCost_s,Greedy_LowestCost_s,Greedy_Unconstrained_s,DP_TopDown_score,DP_BottomUp_score,Greedy_Score_score,Greedy_ScoreCost_score,Greedy_LowestCost_score,Greedy_Unconstrained_score
1,4000,0,0.000008299,0.000023815,0.000000172,0.000000088,0.000000094,0.000000000,1.800,1.800,1.800,1.800,1.800,0.000
527,4000,0,0.036305995,0.013712666,0.000100715,0.000117609,0.000088090,0.000000000,110.600,110.600,17.200,10.900,94.100,0.000
1053,4000,0,0.056843127,0.018129879,0.000162390,0.000184030,0.000134076,0.000000000,144.900,144.900,6.000,4.400,126.400,0.000
1579,4000,0,0.093358176,0.027607117,0.000251616,0.000288209,0.000213942,0.000000000,198.500,198.500,0.500,3.400,174.100,0.000
2106,4000,0,0.122357749,0.036166443,0.000343130,0.000406799,0.000291874,0.000000000,281.100,281.100,4.900,0.600,268.600,0.000
2632,4000,0,0.153945936,0.045761485,0.000438355,0.000516099,0.000374112,0.000000000,270.200,270.200,18.000,10.500,238.500,0.000
3158,4000,0,0.195257243,0.054494888,0.000536732,0.000646911,0.000474284,0.000000000,282.200,282.200,1.900,3.400,252.700,0.000
3684,4000,0,0.220404768,0.064111165,0.000640355,0.000764163,0.000569615,0.000000000,291.500,291.500,4.900,6.700,253.400,0.000
4211,4000,0,0.259362187,0.072717136,0.000735678,0.000883955,0.000641672,0.000000000,332.700,332.700,13.000,0.600,298.100,0.000
4737,4000,0,0.289285496,0.082716451,0.000839664,0.001133266,0.000725614,0.000000000,371.500,371.500,7.800,3.000,327.200,0.000
5263,4000,0,0.323979594,0.090926944,0.000938896,0.001127536,0.000817110,0.000000000,383.000,383.000,1.800,4.200,335.100,0.000
5789,4000,0,0.354763109,0.099900538,0.001042865,0.001260680,0.000914387,0.000000000,395.400,395.400,4.200,1.400,348.600,0.000
6316,4000,0,0.394986799,0.108621371,0.001164186,0.001401181,0.001020751,0.000000000,426.900,426.900,10.900,9.600,371.400,0.000
6842,4000,0,0.423266578,0.118373342,0.001276407,0.001538827,0.001123197,0.000000000,440.900,440.900,1.600,6.800,385.100,0.000
7368,4000,0,0.457174019,0.127057627,0.001507219,0.001674385,0.001227839,0.000000000,476.800,476.800,7.700,0.400,413.400,0.000
7894,4000,0,0.485752006,0.137019088,0.001489687,0.001815830,0.001329865,0.000000000,465.500,465.500,1.500,5.500,404.500,0.000
8421,4000,0,0.519153138,0.145440326,0.001579450,0.001932856,0.001519376,0.000000000,469.600,469.600,8.900,6.800,414.300,0.000
8947,4000,0,0.551634017,0.154158209,0.001689739,0.002063355,0.001500594,0.000000000,496.000,496.000,3.100,5.500,423.900,0.000
9473,4000,0,0.591102425,0.163610811,0.001785490,0.002266691,0.001617454,0.000000000,527.300,527.300,7.600,5.500,452.700,0.000
10000,4000,0,0.621331615,0.171949688,0.002299690,0.002354899,0.001696217,0.000000000,527.300,527.300,3.100,5.500,453.000,0.000
