N,Budget,K,DP_TopDown_s,DP_BottomUp_s,Greedy_Score_s,Greedy_ScoreCost_s,Greedy_LowestCost_s,Greedy_Unconstrained_s,DP_TopDown_score,DP_BottomUp_score,Greedy_Score_score,Greedy_ScoreCost_score,Greedy_LowestCost_score,Greedy_Unconstrained_score
1,3868,1,0.000015589,0.000027302,0.000000431,0.000000120,0.000000100,0.000001132,0.000,0.000,0.000,0.000,0.000,2.900
527,4000,395,0.037225182,0.012468674,0.000095339,0.000109355,0.000080471,0.000074931,142.000,142.000,23.700,26.000,129.500,1545.500
1053,4000,789,0.102604546,0.034351404,0.000274938,0.000294063,0.000216027,0.000226647,175.900,175.900,34.000,19.300,155.800,3061.800
1579,4000,1184,0.141207320,0.037039182,0.000332496,0.000371389,0.000280017,0.000312698,211.800,211.800,12.600,13.500,193.000,4568.600
2106,4000,1579,0.149573073,0.039196582,0.000364606,0.000429929,0.000301106,0.000346943,264.500,264.500,12.800,8.700,238.000,6119.000
2632,4000,1974,0.165620372,0.048417014,0.000439347,0.000503597,0.000375537,0.000428547,292.000,292.000,23.300,19.000,271.800,7593.200
3158,4000,2368,0.197699490,0.055086955,0.000562248,0.000625668,0.000458893,0.000551398,327.700,327.700,23.300,19.000,302.800,9151.400
3684,4000,2763,0.254675038,0.063294370,0.000639794,0.000757987,0.000536871,0.000631910,355.000,355.000,29.300,28.800,330.200,10718.400
4211,4000,3158,0.265052607,0.071903512,0.000728791,0.000869316,0.000644252,0.000736125,367.300,367.300,29.300,28.800,339.100,12142.800
4737,4000,3552,0.302337301,0.081197822,0.000828098,0.000990724,0.000712250,0.000831795,381.000,381.000,29.300,28.800,350.300,13587.600
5263,4000,3947,0.324901233,0.094176114,0.000975847,0.001156877,0.000797561,0.000938025,387.200,387.200,29.300,28.800,350.500,15048.900
5789,4000,4341,0.358673447,0.099040488,0.001039586,0.001244462,0.000890606,0.001050998,418.900,418.900,37.400,36.900,372.500,16608.200
6316,4000,4737,0.393314225,0.109347675,0.001147299,0.001377683,0.001009129,0.001169401,457.000,457.000,34.800,27.300,396.600,18100.000
6842,4000,5131,0.439366659,0.120835664,0.001262596,0.001538786,0.001094851,0.001289907,498.400,498.400,34.800,27.300,444.300,19558.100
7368,4000,5526,0.463559937,0.129888901,0.001368154,0.001657439,0.001192855,0.001387431,510.300,510.300,23.500,22.700,453.700,21074.800
7894,4000,5920,0.488217830,0.135724492,0.001485165,0.001798554,0.001294707,0.001486127,525.600,525.600,23.500,29.900,461.100,22587.700
8421,4000,6315,0.521189397,0.144806593,0.001571097,0.001929060,0.001408290,0.001582267,543.600,543.600,23.500,29.900,478.100,24034.000
8947,4000,6710,0.557699683,0.154915607,0.001697254,0.002043155,0.001436533,0.001690762,551.700,551.700,23.500,29.900,479.500,25478.300
9473,4000,7104,0.592010260,0.165061219,0.001787644,0.002176626,0.001562921,0.001808213,555.100,555.100,23.500,29.900,484.900,27002.400
10000,4000,7500,0.651009377,0.174073148,0.001913451,0.002306150,0.001647841,0.001917058,572.000,572.000,39.300,38.200,500.500,28474.500
