N,K,Greedy_Unconstrained_s,Greedy_Unconstrained_score
10000,1,0.001248389,0.100
10000,527,0.001225266,166.600
10000,1053,0.001219345,612.100
10000,1579,0.001294316,1348.000
10000,2106,0.001232158,2361.100
10000,2632,0.001237529,3649.700
10000,3158,0.001239353,5224.500
10000,3684,0.001238191,7072.300
10000,4211,0.001234373,9200.300
10000,4737,0.001251456,11603.800
10000,5263,0.001258188,14272.600
10000,5789,0.001246946,17218.200
10000,6316,0.001249041,20445.900
10000,6842,0.001271833,23937.000
10000,7368,0.001268808,27701.100
10000,7894,0.001281191,31737.200
10000,8421,0.001279709,36066.500
10000,8947,0.001286942,40657.200
10000,9473,0.001305918,45517.300
10000,10000,0.001308642,50667.800
