N,K,Greedy_Unconstrained_s,Greedy_Unconstrained_score
1,100,0.000001403,1.600
527,100,0.000106277,94.100
1053,100,0.000144199,52.900
1579,100,0.000250338,36.400
2106,100,0.000306773,28.700
2632,100,0.000447280,25.200
3158,100,0.000501418,21.600
3684,100,0.000578925,19.900
4211,100,0.000656199,18.500
4737,100,0.000754672,16.500
5263,100,0.000865580,15.400
5789,100,0.001035061,14.900
6316,100,0.001043486,14.800
6842,100,0.001152518,14.000
7368,100,0.001287253,13.600
7894,100,0.001347345,13.400
8421,100,0.001462775,13.000
8947,100,0.001590956,12.800
9473,100,0.001642760,12.200
10000,100,0.001790755,11.900
