N,Budget,DP_TopDown_s,DP_BottomUp_s,Greedy_Score_s,Greedy_ScoreCost_s,Greedy_LowestCost_s,DP_TopDown_score,DP_BottomUp_score,Greedy_Score_score,Greedy_ScoreCost_score,Greedy_LowestCost_score
1000,10,0.000027370,0.000041784,0.000132099,0.000158339,0.000125633,0.000,0.000,0.000,0.000,0.000
1000,510,0.001132393,0.001827116,0.000133134,0.000155883,0.000129191,22.700,58.800,12.900,3.300,45.700
1000,1010,0.002380548,0.003677289,0.000133010,0.000154788,0.000121998,32.100,82.900,3.200,3.200,67.900
1000,1510,0.008481885,0.005579132,0.000134464,0.000161877,0.000126263,19.400,98.100,4.600,1.600,84.100
1000,2010,0.015989958,0.007684951,0.000147783,0.000164554,0.000128156,36.400,114.100,4.800,9.800,97.500
1000,2510,0.025029102,0.009672569,0.000139525,0.000151878,0.000127521,28.600,126.400,4.800,0.900,107.500
1000,3010,0.038039067,0.011808941,0.000142947,0.000155907,0.000125936,47.400,137.000,3.900,5.500,110.200
1000,3510,0.055315467,0.013847181,0.000134869,0.000152951,0.000133185,50.100,147.300,4.100,0.200,115.700
1000,4010,0.066528783,0.016193705,0.000137467,0.000158071,0.000121014,47.800,157.400,2.100,0.800,132.000
1000,4510,0.080608706,0.018649007,0.000139469,0.000161762,0.000127620,60.900,167.100,5.700,4.800,146.200
1000,5010,0.101367717,0.021057761,0.000147474,0.000150985,0.000124796,59.700,175.900,3.800,3.800,151.600
1000,5510,0.118134056,0.023659816,0.000141861,0.000159314,0.000131204,56.700,183.500,0.900,0.900,155.500
1000,6010,0.132234596,0.026293578,0.000147678,0.000159707,0.000125777,72.500,190.200,7.000,7.000,164.900
1000,6510,0.161428653,0.034579325,0.000145224,0.000162158,0.000129405,80.500,197.800,1.900,1.100,175.700
1000,7010,0.191949265,0.038437510,0.000138839,0.000155106,0.000127897,86.600,204.200,0.300,0.800,178.000
1000,7510,0.201693747,0.041122874,0.000144794,0.000153085,0.000124002,96.900,210.900,0.700,3.800,181.000
1000,8010,0.207458958,0.044291452,0.000140375,0.000151426,0.000123680,91.200,217.400,7.900,1.500,186.200
1000,8510,0.237643519,0.048537318,0.000141714,0.000151273,0.000132555,76.600,224.000,5.900,1.200,195.700
1000,9010,0.269850487,0.052568899,0.000143448,0.000157815,0.000124282,105.700,230.300,10.100,1.200,212.000
1000,9510,0.284595289,0.055799967,0.000144325,0.000159291,0.000127577,90.700,236.800,1.200,3.800,213.900
