N,Budget,DP_TopDown_s,DP_BottomUp_s,Greedy_Score_s,Greedy_ScoreCost_s,Greedy_LowestCost_s,DP_TopDown_score,DP_BottomUp_score,Greedy_Score_score,Greedy_ScoreCost_score,Greedy_LowestCost_score
1,4000,0.000005746,0.000014035,0.000000133,0.000000047,0.000000036,0.000,0.000,0.000,0.000,0.000
527,4000,0.031715312,0.008678298,0.000065897,0.000068652,0.000057969,98.900,98.900,0.800,0.800,86.900
1053,4000,0.081145998,0.020647348,0.000138581,0.000154834,0.000127755,159.800,159.800,2.100,0.800,136.500
1579,4000,0.127708014,0.031069285,0.000231462,0.000267115,0.000212461,205.000,205.000,2.600,3.500,171.500
2106,4000,0.190774797,0.042111266,0.000305214,0.000358880,0.000272533,241.100,241.100,2.600,3.500,207.300
2632,4000,0.241089270,0.052740777,0.000399083,0.000449839,0.000359222,271.000,271.000,1.500,5.600,236.000
3158,4000,0.294092236,0.063591446,0.000507244,0.000572894,0.000455746,294.100,294.100,1.500,5.600,258.400
3684,4000,0.341584583,0.073358449,0.000590691,0.000691573,0.000540861,326.700,326.700,2.000,5.600,286.600
4211,4000,0.392860627,0.083786500,0.000675212,0.000784414,0.000627986,373.200,373.200,0.700,5.400,337.400
4737,4000,0.447682352,0.095042677,0.000769442,0.000903743,0.000705363,400.100,400.100,0.700,4.400,362.700
5263,4000,0.501183762,0.105768481,0.000854718,0.001001251,0.000787771,404.900,404.900,0.700,6.400,362.700
5789,4000,0.558156994,0.115789285,0.000958377,0.001141474,0.000888747,410.000,410.000,0.700,6.400,355.400
6316,4000,0.618466721,0.125003541,0.001074961,0.001247806,0.000987392,414.000,414.000,2.100,6.400,356.200
6842,4000,0.685663179,0.136243676,0.001246056,0.001436583,0.001117542,437.900,437.900,2.100,6.400,394.300
7368,4000,0.730343758,0.146670771,0.001324041,0.001484041,0.001176607,446.300,446.300,6.300,0.900,399.700
7894,4000,0.781206340,0.157567001,0.001348222,0.001620106,0.001311964,482.500,482.500,12.400,9.300,437.700
8421,4000,0.854044728,0.168553101,0.001484328,0.001727132,0.001389101,485.900,485.900,11.000,9.300,439.100
8947,4000,0.910447624,0.178441547,0.001581550,0.001852605,0.001448120,501.900,501.900,11.000,9.300,442.100
9473,4000,0.988503543,0.194634018,0.001710157,0.002035452,0.001596444,529.400,529.400,11.000,9.100,463.400
10000,4000,1.044540545,0.203622621,0.001878669,0.002177019,0.001682972,532.100,532.100,11.000,9.100,450.300
